match_id,home_team,away_team,kickoff_utc,bookmaker,home_odds,draw_odds,away_odds,odds_last_updated_utc,bookmaker_key,is_danske_spil,source,notes
WC2026-GRF-006,Tunisia,Netherlands,2026-06-25T23:00:00Z,Danske Spil,8.75,5.5,1.33,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Tunisia 8.75 / Draw 5.5 / Netherlands 1.33
WC2026-GRD-005,Türkiye,United States,2026-06-26T02:00:00Z,Danske Spil,2.8,3.55,2.43,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Türkiye 2.8 / Draw 3.55 / United States 2.43
WC2026-GRD-006,Paraguay,Australia,2026-06-26T02:00:00Z,Danske Spil,2.19,3.25,3.5,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Paraguay 2.19 / Draw 3.25 / Australia 3.5
WC2026-GRI-005,Norway,France,2026-06-26T19:00:00Z,Danske Spil,4.25,3.7,1.84,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Norway 4.25 / Draw 3.7 / France 1.84
WC2026-GRI-006,Senegal,Iraq,2026-06-26T19:00:00Z,Danske Spil,1.33,5.25,9.5,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Senegal 1.33 / Draw 5.25 / Iraq 9.5
WC2026-GRH-006,Uruguay,Spain,2026-06-27T00:00:00Z,Danske Spil,5.75,4.25,1.57,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Uruguay 5.75 / Draw 4.25 / Spain 1.57
WC2026-GRH-005,Cabo Verde,Saudi Arabia,2026-06-27T00:00:00Z,Danske Spil,2.8,3.5,2.44,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Cabo Verde 2.8 / Draw 3.5 / Saudi Arabia 2.44
WC2026-GRG-005,Egypt,IR Iran,2026-06-27T03:00:00Z,Danske Spil,2.11,3.15,3.9,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Egypt 2.11 / Draw 3.15 / IR Iran 3.9
WC2026-GRG-006,New Zealand,Belgium,2026-06-27T03:00:00Z,Danske Spil,12.0,6.5,1.23,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,New Zealand 12.0 / Draw 6.5 / Belgium 1.23
WC2026-GRL-006,Croatia,Ghana,2026-06-27T21:00:00Z,Danske Spil,1.6,3.95,5.75,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Croatia 1.6 / Draw 3.95 / Ghana 5.75
WC2026-GRL-005,Panama,England,2026-06-27T21:00:00Z,Danske Spil,10.0,6.25,1.26,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Panama 10.0 / Draw 6.25 / England 1.26
WC2026-GRK-005,Colombia,Portugal,2026-06-27T23:30:00Z,Danske Spil,3.5,3.3,2.17,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Colombia 3.5 / Draw 3.3 / Portugal 2.17
WC2026-GRK-006,Congo DR,Uzbekistan,2026-06-27T23:30:00Z,Danske Spil,2.12,3.5,3.45,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Congo DR 2.12 / Draw 3.5 / Uzbekistan 3.45
WC2026-GRJ-005,Algeria,Austria,2026-06-28T02:00:00Z,Danske Spil,3.0,3.1,2.54,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Algeria 3.0 / Draw 3.1 / Austria 2.54
WC2026-GRJ-006,Jordan,Argentina,2026-06-28T02:00:00Z,Danske Spil,12.5,7.0,1.21,2026-06-19T10:09:00Z,danske_spil,true,Danske Spil Oddset,Jordan 12.5 / Draw 7.0 / Argentina 1.21
