model_variant,includes_elo,includes_fifa_ranking,match_count,accuracy,log_loss,brier_score,ece,draw_calibration_gap,selected,selection_reason
baseline_no_strength,False,False,9882,0.5702286986439992,0.9209328973496562,0.5437298008070565,0.012435620278135998,0.007392440406628564,False,
elo_only,True,False,9882,0.5938069216757741,0.8763302204713422,0.5155175600958215,0.014795301017008409,0.005459954180225324,True,Kept elo_only because FIFA ranking did not improve both log loss and Brier score versus Elo.
fifa_only,False,True,9882,0.5869257235377454,0.8911377251516398,0.5247278653458636,0.007889819449400376,-0.0032167465994448197,False,
elo_plus_fifa,True,True,9882,0.5965391621129326,0.8775958022508885,0.5164666566620109,0.009751985697705025,-0.008679864753788763,False,
